Numero Ticket;Tipo de caso;Categoria;Tipo;Item;Resumen;Matri;Ubicacion;Numero Telefonico;Indicador Vip;Region;Service Desk;Modo de reporte;Estado;Fecha Creacion;Fecha Termino;Fecha Cierre;Prioridad;Grupos asignado;Grupo creador
WO0000004552120;R;MOBILIARIO;EQUIPO;CONTADOR DE BILLETES;REPARAR;NULL;NICOLAS AYLLON - 191027;##;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-22;2022-10-23;2022-10-23;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004551517;R;MOBILIARIO;EQUIPO;CONTADOR DE BILLETES;REPARAR;S16506;MEGA PLAZA - 191010;##;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-22;2022-10-25;2022-10-25;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004555027;R;MOBILIARIO;EQUIPO;CONTADOR DE BILLETES;REPARAR;U14540;CAYMA - 215002;###;1;NULL;Zona Norte;Web HD;Terminado;2022-10-22;2022-11-14;;3;MANTENIMIENTO PROV 2 - SUR;HELPDESK OPERADORES
WO0000004552911;R;MOBILIARIO;EQUIPO;CONTADOR DE BILLETES;REPARAR;E19405;BELAUNDE - 191018;###;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-22;2022-10-23;2022-10-23;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004552449;R;MOBILIARIO;EQUIPO;CONTADOR DE BILLETES;REPARAR;S47179;LAS ALONDRAS - 191044;###;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-22;2022-10-26;2022-10-26;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004551394;R;MOBILIARIO;EQUIPO;CONTADOR DE BILLETES;REPARAR;U21904;SANTA ANITA - 191052;###;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-22;2022-10-28;2022-10-28;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004551269;R;MOBILIARIO;EQUIPO;CONTADOR DE BILLETES;REPARAR;U21904;SANTA ANITA - 191052;###;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-22;2022-10-23;2022-10-23;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004552853;R;MOBILIARIO;EQUIPO;CONTADOR DE MONEDAS;REPARAR;E19405;BELAUNDE - 191018;###;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-22;2022-10-29;2022-10-29;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004553597;R;MOBILIARIO;EQUIPO;CONTADOR DE MONEDAS;REPARAR;NULL;EL PINO - 191087;##;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-22;2022-11-04;2022-11-04;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004551302;R;MOBILIARIO;INST. SANITARIAS;TUBERIA DE DESAGUE;REPARAR;E12859;EL AGUSTINO - 191041;###;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-22;2022-10-23;2022-10-23;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004551286;R;MOBILIARIO;AUDIO Y VIDEO;TV;REPARAR;U22060;CANTO GRANDE - 191096;###;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-22;2022-10-31;2022-10-31;2;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004553113;R;MOBILIARIO;DISP. DE SEGURIDAD;ESTACION MANUAL;REPARAR;S09448;NARANJAL - 191141;###;1;Lim1Reg5;Zona Centro;Web HD;Cerrado;2022-10-22;2022-10-29;2022-10-29;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004554542;R;MOBILIARIO;EDIFICIO;PUERTA / MAMPARA;REPARAR;E20184;ICA - 380000;###;1;NULL;Zona Centro;Web HD;Rechazado;2022-10-22;2022-10-23;;3;MANTENIMIENTO PROV 2 - SUR CHICO;HELPDESK OPERADORES
WO0000004554553;R;MOBILIARIO;MOBILIARIO;SILLAS;REPARAR;S02143;C.B. FIORI - 191088;###;1;NULL;Zona Centro;Web HD;Terminado;2022-10-22;2022-11-11;;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004551294;R;MOBILIARIO;EQUIPO;EXTINTOR ANCLAJE;REPARAR;NULL;LUREN - 380004;##;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-22;2022-10-31;2022-10-31;3;MANTENIMIENTO PROV 2 - SUR CHICO;HELPDESK OPERADORES
WO0000004552985;R;MOBILIARIO;MOBILIARIO;SILLAS;REPARAR;S00966;CHACLACAYO - 191074;###;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-22;2022-10-28;2022-10-28;3;MANTENIMIENTO LIMA 1;HELPDESK OPERADORES
WO0000004554767;R;MOBILIARIO;MOBILIARIO;CREDENZA;REPARAR;S05861;CHINCHA - 315000;###;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-22;2022-10-28;2022-10-28;3;MANTENIMIENTO PROV 2 - SUR CHICO;HELPDESK OPERADORES
WO0000004551630;R;MOBILIARIO;MOBILIARIO;CREDENZA;REPARAR;E17916;PISCO - 470000;###;1;NULL;Zona Centro;Web HD;Cerrado;2022-10-22;2022-10-24;2022-10-24;3;MANTENIMIENTO PROV 2 - SUR CHICO;HELPDESK OPERADORES
WO0000004554789;R;MOBILIARIO;EQUIPO;AIRE ACONDICIONADO;REGULAR;S47941;PUERTO MALDONADO - 485000;###;1;NULL;Zona Norte;Web HD;Terminado;2022-10-22;2022-11-22;;3;MANTENIMIENTO PROV 2 - SUR;HELPDESK OPERADORES
WO0000004551369;R;MOBILIARIO;LUMINARIAS;REFLECTOR / LAMPARAS;REVISAR;S27404;TOWN SITE - 385001;###;1;NULL;Zona Norte;Web HD;Terminado;2022-10-22;2022-11-14;;3;MANTENIMIENTO PROV 2 - SUR;HELPDESK OPERADORES
